0,0
1,1
3,3
2,2
7,6
6,7
4,5
5,4
15,12
14,13
12,15
13,14
8,10
9,11
11,9
10,8
31,24
30,25
28,27
29,26
24,30
25,31
27,29
26,28
16,20
17,21
19,23
18,22
23,18
22,19
20,17
21,16
32,32
33,33
35,35
34,34
39,38
38,39
36,37
37,36
47,44
46,45
44,47
45,46
40,42
41,43
43,41
42,40
63,56
62,57
60,59
61,58
56,62
57,63
59,61
58,60
48,52
49,53
51,55
50,54
55,50
54,51
52,49
53,48
96,96
97,97
99,99
98,98
103,102
102,103
100,101
101,100
111,108
110,109
108,111
109,110
104,106
105,107
107,105
106,104
127,120
126,121
124,123
125,122
120,126
121,127
123,125
122,124
112,116
113,117
115,119
114,118
119,114
118,115
116,113
117,112
64,64
65,65
67,67
66,66
71,70
70,71
68,69
69,68
79,76
78,77
76,79
77,78
72,74
73,75
75,73
74,72
95,88
94,89
92,91
93,90
88,94
89,95
91,93
90,92
80,84
81,85
83,87
82,86
87,82
86,83
84,81
85,80
224,192
225,193
227,195
226,194
231,198
230,199
228,197
229,196
239,204
238,205
236,207
237,206
232,202
233,203
235,201
234,200
255,216
254,217
252,219
253,218
248,222
249,223
251,221
250,220
240,212
241,213
243,215
242,214
247,210
246,211
244,209
245,208
192,224
193,225
195,227
194,226
199,230
198,231
196,229
197,228
207,236
206,237
204,239
205,238
200,234
201,235
203,233
202,232
223,248
222,249
220,251
221,250
216,254
217,255
219,253
218,252
208,244
209,245
211,247
210,246
215,242
214,243
212,241
213,240
128,160
129,161
131,163
130,162
135,166
134,167
132,165
133,164
143,172
142,173
140,175
141,174
136,170
137,171
139,169
138,168
159,184
158,185
156,187
157,186
152,190
153,191
155,189
154,188
144,180
145,181
147,183
146,182
151,178
150,179
148,177
149,176
160,128
161,129
163,131
162,130
167,134
166,135
164,133
165,132
175,140
174,141
172,143
173,142
168,138
169,139
171,137
170,136
191,152
190,153
188,155
189,154
184,158
185,159
187,157
186,156
176,148
177,149
179,151
178,150
183,146
182,147
180,145
181,144
480,384
481,385
483,387
482,386
487,390
486,391
484,389
485,388
495,396
494,397
492,399
493,398
488,394
489,395
491,393
490,392
511,408
510,409
508,411
509,410
504,414
505,415
507,413
506,412
496,404
497,405
499,407
498,406
503,402
502,403
500,401
501,400
448,416
449,417
451,419
450,418
455,422
454,423
452,421
453,420
463,428
462,429
460,431
461,430
456,426
457,427
459,425
458,424
479,440
478,441
476,443
477,442
472,446
473,447
475,445
474,444
464,436
465,437
467,439
466,438
471,434
470,435
468,433
469,432
384,480
385,481
387,483
386,482
391,486
390,487
388,485
389,484
399,492
398,493
396,495
397,494
392,490
393,491
395,489
394,488
415,504
414,505
412,507
413,506
408,510
409,511
411,509
410,508
400,500
401,501
403,503
402,502
407,498
406,499
404,497
405,496
416,448
417,449
419,451
418,450
423,454
422,455
420,453
421,452
431,460
430,461
428,463
429,462
424,458
425,459
427,457
426,456
447,472
446,473
444,475
445,474
440,478
441,479
443,477
442,476
432,468
433,469
435,471
434,470
439,466
438,467
436,465
437,464
256,320
257,321
259,323
258,322
263,326
262,327
260,325
261,324
271,332
270,333
268,335
269,334
264,330
265,331
267,329
266,328
287,344
286,345
284,347
285,346
280,350
281,351
283,349
282,348
272,340
273,341
275,343
274,342
279,338
278,339
276,337
277,336
288,352
289,353
291,355
290,354
295,358
294,359
292,357
293,356
303,364
302,365
300,367
301,366
296,362
297,363
299,361
298,360
319,376
318,377
316,379
317,378
312,382
313,383
315,381
314,380
304,372
305,373
307,375
306,374
311,370
310,371
308,369
309,368
352,288
353,289
355,291
354,290
359,294
358,295
356,293
357,292
367,300
366,301
364,303
365,302
360,298
361,299
363,297
362,296
383,312
382,313
380,315
381,314
376,318
377,319
379,317
378,316
368,308
369,309
371,311
370,310
375,306
374,307
372,305
373,304
320,256
321,257
323,259
322,258
327,262
326,263
324,261
325,260
335,268
334,269
332,271
333,270
328,266
329,267
331,265
330,264
351,280
350,281
348,283
349,282
344,286
345,287
347,285
346,284
336,276
337,277
339,279
338,278
343,274
342,275
340,273
341,272
992,768
993,769
995,771
994,770
999,774
998,775
996,773
997,772
1007,780
1006,781
1004,783
1005,782
1000,778
1001,779
1003,777
1002,776
1023,792
1022,793
1020,795
1021,794
1016,798
1017,799
1019,797
1018,796
1008,788
1009,789
1011,791
1010,790
1015,786
1014,787
1012,785
1013,784
960,800
961,801
963,803
962,802
967,806
966,807
964,805
965,804
975,812
974,813
972,815
973,814
968,810
969,811
971,809
970,808
991,824
990,825
988,827
989,826
984,830
985,831
987,829
986,828
976,820
977,821
979,823
978,822
983,818
982,819
980,817
981,816
896,864
897,865
899,867
898,866
903,870
902,871
900,869
901,868
911,876
910,877
908,879
909,878
904,874
905,875
907,873
906,872
927,888
926,889
924,891
925,890
920,894
921,895
923,893
922,892
912,884
913,885
915,887
914,886
919,882
918,883
916,881
917,880
928,832
929,833
931,835
930,834
935,838
934,839
932,837
933,836
943,844
942,845
940,847
941,846
936,842
937,843
939,841
938,840
959,856
958,857
956,859
957,858
952,862
953,863
955,861
954,860
944,852
945,853
947,855
946,854
951,850
950,851
948,849
949,848
768,960
769,961
771,963
770,962
775,966
774,967
772,965
773,964
783,972
782,973
780,975
781,974
776,970
777,971
779,969
778,968
799,984
798,985
796,987
797,986
792,990
793,991
795,989
794,988
784,980
785,981
787,983
786,982
791,978
790,979
788,977
789,976
800,992
801,993
803,995
802,994
807,998
806,999
804,997
805,996
815,1004
814,1005
812,1007
813,1006
808,1002
809,1003
811,1001
810,1000
831,1016
830,1017
828,1019
829,1018
824,1022
825,1023
827,1021
826,1020
816,1012
817,1013
819,1015
818,1014
823,1010
822,1011
820,1009
821,1008
864,928
865,929
867,931
866,930
871,934
870,935
868,933
869,932
879,940
878,941
876,943
877,942
872,938
873,939
875,937
874,936
895,952
894,953
892,955
893,954
888,958
889,959
891,957
890,956
880,948
881,949
883,951
882,950
887,946
886,947
884,945
885,944
832,896
833,897
835,899
834,898
839,902
838,903
836,901
837,900
847,908
846,909
844,911
845,910
840,906
841,907
843,905
842,904
863,920
862,921
860,923
861,922
856,926
857,927
859,925
858,924
848,916
849,917
851,919
850,918
855,914
854,915
852,913
853,912
512,640
513,641
515,643
514,642
519,646
518,647
516,645
517,644
527,652
526,653
524,655
525,654
520,650
521,651
523,649
522,648
543,664
542,665
540,667
541,666
536,670
537,671
539,669
538,668
528,660
529,661
531,663
530,662
535,658
534,659
532,657
533,656
544,672
545,673
547,675
546,674
551,678
550,679
548,677
549,676
559,684
558,685
556,687
557,686
552,682
553,683
555,681
554,680
575,696
574,697
572,699
573,698
568,702
569,703
571,701
570,700
560,692
561,693
563,695
562,694
567,690
566,691
564,689
565,688
608,736
609,737
611,739
610,738
615,742
614,743
612,741
613,740
623,748
622,749
620,751
621,750
616,746
617,747
619,745
618,744
639,760
638,761
636,763
637,762
632,766
633,767
635,765
634,764
624,756
625,757
627,759
626,758
631,754
630,755
628,753
629,752
576,704
577,705
579,707
578,706
583,710
582,711
580,709
581,708
591,716
590,717
588,719
589,718
584,714
585,715
587,713
586,712
607,728
606,729
604,731
605,730
600,734
601,735
603,733
602,732
592,724
593,725
595,727
594,726
599,722
598,723
596,721
597,720
736,576
737,577
739,579
738,578
743,582
742,583
740,581
741,580
751,588
750,589
748,591
749,590
744,586
745,587
747,585
746,584
767,600
766,601
764,603
765,602
760,606
761,607
763,605
762,604
752,596
753,597
755,599
754,598
759,594
758,595
756,593
757,592
704,608
705,609
707,611
706,610
711,614
710,615
708,613
709,612
719,620
718,621
716,623
717,622
712,618
713,619
715,617
714,616
735,632
734,633
732,635
733,634
728,638
729,639
731,637
730,636
720,628
721,629
723,631
722,630
727,626
726,627
724,625
725,624
640,544
641,545
643,547
642,546
647,550
646,551
644,549
645,548
655,556
654,557
652,559
653,558
648,554
649,555
651,553
650,552
671,568
670,569
668,571
669,570
664,574
665,575
667,573
666,572
656,564
657,565
659,567
658,566
663,562
662,563
660,561
661,560
672,512
673,513
675,515
674,514
679,518
678,519
676,517
677,516
687,524
686,525
684,527
685,526
680,522
681,523
683,521
682,520
703,536
702,537
700,539
701,538
696,542
697,543
699,541
698,540
688,532
689,533
691,535
690,534
695,530
694,531
692,529
693,528
